key_resp.keys,key_resp.rt,slider.response,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,scenario,Initialer (f.eks. TP):,Alder (f.eks. 20 ):,Køn (mand/kvinde/andet):,date,expName,psychopyVersion,OS,frameRate,fbclid,key_resp_2.keys,key_resp_2.rt
space,15.511435,6,0,0,0,38,1,stim_WN09.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",PH,23,Mand,2021-05-11_21h36.13.823,theaoglinaexperiment,2021.1.4,Win32,59.91252771,IwAR3SYKwQKsAfFrK9_Pcj_5HExcZzGZPn8L7b1Nm7CacZyPweF4T47al7GGo,,
,,6,0,1,1,10,1,stim_MN01.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",PH,23,Mand,2021-05-11_21h36.13.823,theaoglinaexperiment,2021.1.4,Win32,59.91252771,IwAR3SYKwQKsAfFrK9_Pcj_5HExcZzGZPn8L7b1Nm7CacZyPweF4T47al7GGo,,
,,6,0,2,2,2,1,stim_MJ03.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",PH,23,Mand,2021-05-11_21h36.13.823,theaoglinaexperiment,2021.1.4,Win32,59.91252771,IwAR3SYKwQKsAfFrK9_Pcj_5HExcZzGZPn8L7b1Nm7CacZyPweF4T47al7GGo,,
,,7,0,3,3,35,1,stim_WN06.jpg,Du skal have foretaget en knæoperation under fuld narkose. Personen på billedet er lægen som skal foretage operationen. Hvor tilbøjelig er du til at stole på personen på billedet til at foretage operationen?,PH,23,Mand,2021-05-11_21h36.13.823,theaoglinaexperiment,2021.1.4,Win32,59.91252771,IwAR3SYKwQKsAfFrK9_Pcj_5HExcZzGZPn8L7b1Nm7CacZyPweF4T47al7GGo,,
,,6,0,4,4,37,1,stim_WN08.jpg,"Denne person sælger et møbel på Den Blå Avis, som du gerne vil købe. Personen siger, at du kan få det, hvis du har mulighed for at hente det på deres private adresse. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?",PH,23,Mand,2021-05-11_21h36.13.823,theaoglinaexperiment,2021.1.4,Win32,59.91252771,IwAR3SYKwQKsAfFrK9_Pcj_5HExcZzGZPn8L7b1Nm7CacZyPweF4T47al7GGo,,
,,6,0,5,5,28,1,stim_WJ09.jpg,Du går alene på gaden om aftenen. Personen på billedet kommer op til dig og vil stille dig et spørgsmål. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?,PH,23,Mand,2021-05-11_21h36.13.823,theaoglinaexperiment,2021.1.4,Win32,59.91252771,IwAR3SYKwQKsAfFrK9_Pcj_5HExcZzGZPn8L7b1Nm7CacZyPweF4T47al7GGo,,
,,6,0,6,6,12,1,stim_MN03.jpg,Du går alene på gaden om aftenen. Personen på billedet kommer op til dig og vil stille dig et spørgsmål. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?,PH,23,Mand,2021-05-11_21h36.13.823,theaoglinaexperiment,2021.1.4,Win32,59.91252771,IwAR3SYKwQKsAfFrK9_Pcj_5HExcZzGZPn8L7b1Nm7CacZyPweF4T47al7GGo,,
,,6,0,7,7,36,1,stim_WN07.jpg,Du går alene på gaden om aftenen. Personen på billedet kommer op til dig og vil stille dig et spørgsmål. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?,PH,23,Mand,2021-05-11_21h36.13.823,theaoglinaexperiment,2021.1.4,Win32,59.91252771,IwAR3SYKwQKsAfFrK9_Pcj_5HExcZzGZPn8L7b1Nm7CacZyPweF4T47al7GGo,,
,,7,0,8,8,23,1,stim_WJ04.jpg,Du skal have foretaget en knæoperation under fuld narkose. Personen på billedet er lægen som skal foretage operationen. Hvor tilbøjelig er du til at stole på personen på billedet til at foretage operationen?,PH,23,Mand,2021-05-11_21h36.13.823,theaoglinaexperiment,2021.1.4,Win32,59.91252771,IwAR3SYKwQKsAfFrK9_Pcj_5HExcZzGZPn8L7b1Nm7CacZyPweF4T47al7GGo,,
,,6,0,9,9,24,1,stim_WJ05.jpg,Du går alene på gaden om aftenen. Personen på billedet kommer op til dig og vil stille dig et spørgsmål. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?,PH,23,Mand,2021-05-11_21h36.13.823,theaoglinaexperiment,2021.1.4,Win32,59.91252771,IwAR3SYKwQKsAfFrK9_Pcj_5HExcZzGZPn8L7b1Nm7CacZyPweF4T47al7GGo,,
