key_resp.keys,key_resp.rt,slider.response,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,scenario,Initialer (f.eks. TP):,Alder (f.eks. 20 ):,Køn (mand/kvinde/andet):,date,expName,psychopyVersion,OS,frameRate,fbclid
space,11.5417,6,0,0,0,4,1,stim_MJ05.jpg,Du går alene på gaden om aftenen. Personen på billedet kommer op til dig og vil stille dig et spørgsmål. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?,KS,37,Mand,2021-05-11_08h40.48.808,theaoglinaexperiment,2021.1.4,Win32,59.90893841,IwAR34ousX-iqeuhTXv0SY8UEgUxk-f6C1CZv3HgAeyQ19QS9_c2LmNNlzguU
,,8,0,1,1,33,1,stim_WN04.jpg,"Denne person sælger et møbel på Den Blå Avis, som du gerne vil købe. Personen siger, at du kan få det, hvis du har mulighed for at hente det på deres private adresse. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?",KS,37,Mand,2021-05-11_08h40.48.808,theaoglinaexperiment,2021.1.4,Win32,59.90893841,IwAR34ousX-iqeuhTXv0SY8UEgUxk-f6C1CZv3HgAeyQ19QS9_c2LmNNlzguU
,,8,0,2,2,0,1,stim_MJ01.jpg,Du går alene på gaden om aftenen. Personen på billedet kommer op til dig og vil stille dig et spørgsmål. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?,KS,37,Mand,2021-05-11_08h40.48.808,theaoglinaexperiment,2021.1.4,Win32,59.90893841,IwAR34ousX-iqeuhTXv0SY8UEgUxk-f6C1CZv3HgAeyQ19QS9_c2LmNNlzguU
,,8,0,3,3,2,1,stim_MJ03.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",KS,37,Mand,2021-05-11_08h40.48.808,theaoglinaexperiment,2021.1.4,Win32,59.90893841,IwAR34ousX-iqeuhTXv0SY8UEgUxk-f6C1CZv3HgAeyQ19QS9_c2LmNNlzguU
,,8,0,4,4,27,1,stim_WJ08.jpg,Du skal have foretaget en knæoperation under fuld narkose. Personen på billedet er lægen som skal foretage operationen. Hvor tilbøjelig er du til at stole på personen på billedet til at foretage operationen?,KS,37,Mand,2021-05-11_08h40.48.808,theaoglinaexperiment,2021.1.4,Win32,59.90893841,IwAR34ousX-iqeuhTXv0SY8UEgUxk-f6C1CZv3HgAeyQ19QS9_c2LmNNlzguU
,,8,0,5,5,17,1,stim_MN08.jpg,"Denne person sælger et møbel på Den Blå Avis, som du gerne vil købe. Personen siger, at du kan få det, hvis du har mulighed for at hente det på deres private adresse. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?",KS,37,Mand,2021-05-11_08h40.48.808,theaoglinaexperiment,2021.1.4,Win32,59.90893841,IwAR34ousX-iqeuhTXv0SY8UEgUxk-f6C1CZv3HgAeyQ19QS9_c2LmNNlzguU
,,8,0,6,6,36,1,stim_WN07.jpg,Du går alene på gaden om aftenen. Personen på billedet kommer op til dig og vil stille dig et spørgsmål. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?,KS,37,Mand,2021-05-11_08h40.48.808,theaoglinaexperiment,2021.1.4,Win32,59.90893841,IwAR34ousX-iqeuhTXv0SY8UEgUxk-f6C1CZv3HgAeyQ19QS9_c2LmNNlzguU
,,8,0,7,7,25,1,stim_WJ06.jpg,"Denne person sælger et møbel på Den Blå Avis, som du gerne vil købe. Personen siger, at du kan få det, hvis du har mulighed for at hente det på deres private adresse. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?",KS,37,Mand,2021-05-11_08h40.48.808,theaoglinaexperiment,2021.1.4,Win32,59.90893841,IwAR34ousX-iqeuhTXv0SY8UEgUxk-f6C1CZv3HgAeyQ19QS9_c2LmNNlzguU
,,8,0,8,8,9,1,stim_MJ10.jpg,"Denne person sælger et møbel på Den Blå Avis, som du gerne vil købe. Personen siger, at du kan få det, hvis du har mulighed for at hente det på deres private adresse. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?",KS,37,Mand,2021-05-11_08h40.48.808,theaoglinaexperiment,2021.1.4,Win32,59.90893841,IwAR34ousX-iqeuhTXv0SY8UEgUxk-f6C1CZv3HgAeyQ19QS9_c2LmNNlzguU
,,8,0,9,9,14,1,stim_MN05.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",KS,37,Mand,2021-05-11_08h40.48.808,theaoglinaexperiment,2021.1.4,Win32,59.90893841,IwAR34ousX-iqeuhTXv0SY8UEgUxk-f6C1CZv3HgAeyQ19QS9_c2LmNNlzguU
,,8,0,10,10,21,1,stim_WJ02.jpg,"Denne person sælger et møbel på Den Blå Avis, som du gerne vil købe. Personen siger, at du kan få det, hvis du har mulighed for at hente det på deres private adresse. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?",KS,37,Mand,2021-05-11_08h40.48.808,theaoglinaexperiment,2021.1.4,Win32,59.90893841,IwAR34ousX-iqeuhTXv0SY8UEgUxk-f6C1CZv3HgAeyQ19QS9_c2LmNNlzguU
,,8,0,11,11,37,1,stim_WN08.jpg,"Denne person sælger et møbel på Den Blå Avis, som du gerne vil købe. Personen siger, at du kan få det, hvis du har mulighed for at hente det på deres private adresse. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?",KS,37,Mand,2021-05-11_08h40.48.808,theaoglinaexperiment,2021.1.4,Win32,59.90893841,IwAR34ousX-iqeuhTXv0SY8UEgUxk-f6C1CZv3HgAeyQ19QS9_c2LmNNlzguU
,,8,0,12,12,16,1,stim_MN07.jpg,Du går alene på gaden om aftenen. Personen på billedet kommer op til dig og vil stille dig et spørgsmål. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?,KS,37,Mand,2021-05-11_08h40.48.808,theaoglinaexperiment,2021.1.4,Win32,59.90893841,IwAR34ousX-iqeuhTXv0SY8UEgUxk-f6C1CZv3HgAeyQ19QS9_c2LmNNlzguU
,,8,0,13,13,10,1,stim_MN01.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",KS,37,Mand,2021-05-11_08h40.48.808,theaoglinaexperiment,2021.1.4,Win32,59.90893841,IwAR34ousX-iqeuhTXv0SY8UEgUxk-f6C1CZv3HgAeyQ19QS9_c2LmNNlzguU
,,8,0,14,14,1,1,stim_MJ02.jpg,"Denne person sælger et møbel på Den Blå Avis, som du gerne vil købe. Personen siger, at du kan få det, hvis du har mulighed for at hente det på deres private adresse. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?",KS,37,Mand,2021-05-11_08h40.48.808,theaoglinaexperiment,2021.1.4,Win32,59.90893841,IwAR34ousX-iqeuhTXv0SY8UEgUxk-f6C1CZv3HgAeyQ19QS9_c2LmNNlzguU
,,8,0,15,15,15,1,stim_MN06.jpg,Du skal have foretaget en knæoperation under fuld narkose. Personen på billedet er lægen som skal foretage operationen. Hvor tilbøjelig er du til at stole på personen på billedet til at foretage operationen?,KS,37,Mand,2021-05-11_08h40.48.808,theaoglinaexperiment,2021.1.4,Win32,59.90893841,IwAR34ousX-iqeuhTXv0SY8UEgUxk-f6C1CZv3HgAeyQ19QS9_c2LmNNlzguU
,,8,0,16,16,26,1,stim_WJ07.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",KS,37,Mand,2021-05-11_08h40.48.808,theaoglinaexperiment,2021.1.4,Win32,59.90893841,IwAR34ousX-iqeuhTXv0SY8UEgUxk-f6C1CZv3HgAeyQ19QS9_c2LmNNlzguU
,,8,0,17,17,6,1,stim_MJ07.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",KS,37,Mand,2021-05-11_08h40.48.808,theaoglinaexperiment,2021.1.4,Win32,59.90893841,IwAR34ousX-iqeuhTXv0SY8UEgUxk-f6C1CZv3HgAeyQ19QS9_c2LmNNlzguU
